id,text,text_el,is_criticism,is_criticism_corrected,topic-context,topic-context_corrected,subtopic-context,sentiment,polarization-definition,populism-definition,ner-limited
11,"A country where the horizons of each and every person are not determined at birth, whether they are born rich or poor, in the center or in the periphery. But the horizons will be open to all and will be shaped according to the needs and efforts of each and every individual. This is our vision for our country. For a Greece with a just society and prosperity for all. And we can put this vision into practice with a realistic and radical program that puts people, work, and social protection at the center. This is our vision and our program.","Μιας χώρας που οι ορίζοντες του καθενός και της καθεμιάς δεν θα καθορίζονται κατά τη γέννηση του, από το αν γεννήθηκε πλούσιος ή φτωχός, στο Κέντρο ή στη Περιφέρεια. Αλλά θα είναι για όλους ανοιχτοί οι ορίζοντες και θα διαμορφώνονται ανάλογα με τις ανάγκες και με τη προσπάθειά του καθενός και της καθεμιάς. Αυτό είναι το δικό μας όραμα για τη πατρίδα μας. Για μια Ελλάδα με δίκαιη κοινωνία και με ευημερία για όλους. Και αυτό το όραμα μπορούμε να το κάνουμε πράξη με ένα πρόγραμμα ρεαλιστικό και ριζοσπαστικό, που θέτει στο επίκεντρο τον άνθρωπο, την εργασία και την κοινωνική προστασία. Αυτό είναι το δικό μας όραμα και πρόγραμμα.",political agenda,,social state,,economic equity,0.8,0,0.2,"[['greece', 'country', '1.0']]"
12,"On the other hand, we have a plan - the plan of our political opponents - which prioritizes profits and celebrates the market. It wants the role of the state to be increasingly reduced, counting profits and losses more than human lives. It is a plan and program that wants growth to come through tax breaks for the powerful and a permanent reduction in labor costs - from the withdrawal of the state from critical areas of social and economic life to make room for speculative funds. They believe that when the powerful and the funds increase their profits, growth will supposedly come. However, this growth has never come anywhere where these neoliberal ideas have been applied. It is cheap, non-inclusive growth that respects neither the environment nor workers, nor natural nor human resources. This unsustainable growth is doomed to decline and reproduce crises, social tensions, and a terrifying widening of inequalities.","Από την άλλη μεριά, έχουμε ένα σχέδιο, αυτό των πολιτικών μας αντιπάλων, που βάζει σε προτεραιότητα τα κέρδη και που αποθεώνει την αγορά. Που θέλει ολοένα και συρρικνωμένο τον ρόλο του κράτους. Που υπολογίζει περισσότερο κέρδη και ζημιές, παρά τις ανθρώπινες ζωές. Ένα σχέδιο και ένα πρόγραμμα που θέλει την ανάπτυξη να έρχεται μέσα από τις φοροαπαλλαγές στους ισχυρούς και τη μείωση τη διαρκή του εργασιακού κόστους. Από την απόσυρση του Δημοσίου από κρίσιμους τομείς της κοινωνικής και οικονομικής ζωής, ώστε να δοθεί χώρος στα κερδοσκοπικά funds. Γιατί πιστεύουν ότι όταν οι ισχυροί και τα funds αυξάνουν τα κέρδη τους, τότε θα έρθει, τάχα, η ανάπτυξη. Μόνο που αυτή η ανάπτυξη δεν ήρθε ποτέ και πουθενά όπου εφαρμόστηκαν αυτές οι ιδέες, οι νεοφιλελεύθερες ιδέες. Η φτηνή, η μη συμπεριληπτική ανάπτυξη. Η ανάπτυξη που δεν σέβεται ούτε το περιβάλλον ούτε τους εργαζόμενους, ούτε τους φυσικούς ούτε τους ανθρώπινους πόρους, είναι μια ανάπτυξη μη βιώσιμη, καταδικασμένη να φθίνει και να αναπαράγει κρίσεις, κοινωνικές εντάσεις και τρομακτική διεύρυνση των ανισοτήτων.",criticism,,economy,,other,-0.9,0.9,0.2,"[['political opponents', 'group of people', '0.85'], ['state', 'organization', '0.7'], ['environment', 'location', '0.6'], ['workers', 'group of people', '0.8'], ['neoliberal ideas', 'political party', '0.7']]"
13,"Our political opponents are trying to hide these aspects of their plan and program from the electoral debate. They announce commitments that they will not implement while hiding others that they aim to implement. The real government program of New Democracy is the one that Mitsotakis submitted to Brussels as the Stability Program just two months ago. Therefore, this program, the true program of our opponents, does not include any of his election promises. Mr. Mitsotakis's election announcements are a fraud, a sham.","Οι πολιτικοί μας αντίπαλοι προσπαθούν να κρύψουν αυτές τις πτυχές του σχεδίου και του προγράμματός τους από τη προεκλογική αντιπαράθεση. Και εξαγγέλλουν δεσμεύσεις που δεν θα υλοποιήσουν, ενώ κρύβουν άλλες που στοχεύουν να υλοποιήσουν. Γιατί το αληθινό κυβερνητικό πρόγραμμα της Νέας Δημοκρατίας είναι αυτό που πριν από δύο μόλις μήνες κατέθεσε ο κ. Μητσοτάκης στις Βρυξέλλες ως Πρόγραμμα Σταθερότητας. Σε αυτό λοιπόν το πρόγραμμα, το αληθινό πρόγραμμα των αντιπάλων μας, δεν εντάσσεται καμία από τις προεκλογικές του εξαγγελίες. Είναι μια απάτη, αέρας κοπανιστός οι προεκλογικές εξαγγελίες του κ. Μητσοτάκη. ",criticism,,elections,,other,-0.9,0.2,0.2,"[['new democracy', 'organization', '0.8'], ['mitsotakis', 'person', '0.7'], ['brussels', 'location', '0.6']]"
14,"On the contrary, however, in their actual program submitted to Brussels, they foresee reductions in public spending on hospitals, schools, and civil servant salaries.","Αντιθέτως όμως, στο πραγματικό τους πρόγραμμα που κατέθεσαν στις Βρυξέλλες, προβλέπονται μειώσεις στις δαπάνες του Δημοσίου για τα νοσοκομεία, για τα σχολεία, για το μισθολόγιο των δημοσίων υπαλλήλων. ",criticism,,public sector,,other,-0.8,0.1,0,"[['brussels', 'location', '1.0'], ['hospitals', 'organization', '0.6'], ['schools', 'organization', '1.0'], ['civil servant salaries', 'organization', '0.8']]"
15,"There is no real increase in the average wage despite the lies about a 25% increase. There are no new recruitments in the NHS and the public sector, only replacements for those who will retire.","Δεν προβλέπεται πραγματική αύξηση του μέσου μισθού, παρά τα ψέματα που λένε για αύξηση 25%. Δεν προβλέπονται νέες προσλήψεις στο ΕΣΥ και στο Δημόσιο, παρά μονάχα αντικαταστάσεις για όσους θα συνταξιοδοτούνται.",criticism,,employment,,wages,-0.8,0.2,0,"[['nhs', 'organization', '1.0']]"
16,"In short, citizens of Athens and friends, the real program of New Democracy foresees a reduction in the purchasing power of public sector employees and stagnation in the purchasing power of private sector employees.","Με δυο λόγια, πολίτες της Αθήνας, φίλες και φίλοι, το πραγματικό πρόγραμμα της Νέας Δημοκρατίας προβλέπει μείωση της αγοραστικής δύναμης των μισθωτών του δημοσίου και στασιμότητα της αγοραστικής δύναμης των μισθωτών του ιδιωτικού τομέα. ",criticism,,employment,,cost of living,-0.7,0,0,"[['athens', 'location', '0.92'], ['new democracy', 'political party', '0.95.']]"
17,"It foresees a further shrinkage of the welfare state and, in particular, a shrinkage of the NHS. That is why their MP, Mr Pneumatikos, has unwittingly revealed that the NHS will even be screening patients. Because the NHS will no longer have the expenditure or staff to meet the needs of citizens, and expensive treatments will be administered on the basis of patients' life expectancy. Anyone who does not have a life expectancy will not get an expensive treatment. He will go, if he can afford it, to private hospitals. And if he doesn't have money, he won't get treatment. But this cynical ideology, which measures everything in terms of cost and damage, especially when it comes to human lives, is leading us to a society of barbarism. And this is our fundamental difference with the New Democracy of Mr Mitsotakis. That is our fundamental difference. As the motto of our young people, the young people of Syriza, says, 'they talk about costs and damage, we talk about human lives?' That is our difference.","Προβλέπει περαιτέρω συρρίκνωση του κοινωνικού κράτους και, ιδιαίτερα, συρρίκνωση του ΕΣΥ. Γι’ αυτό και ο κ. Πνευματικός, ο βουλευτής τους, φανέρωσε άθελά του ότι στο ΕΣΥ θα γίνεται ακόμα και διαλογή ασθενών. Γιατί το ΕΣΥ δεν θα έχει πια δαπάνες ούτε προσωπικό για να μπορέσει να ανταποκριθεί στις ανάγκες των πολιτών. Και τις ακριβές θεραπείες θα τις χορηγούν με βάση το προσδόκιμο ζωής των ασθενών. Όποιος δεν έχει προσδόκιμο δεν θα παίρνει μια ακριβή θεραπεία. Θα πηγαίνει, αν έχει χρήματα, στα ιδιωτικά νοσηλευτήρια. Και αν δεν έχει χρήματα, δεν θα έχει θεραπεία. Αυτή η ιδεολογία όμως η κυνική, που μετράει τα πάντα σε κόστη και ζημιές, ιδίως όταν πρόκειται για ανθρώπινες ζωές, μας οδηγεί σε μια κοινωνία βαρβαρότητας. Και αυτή είναι η θεμελιώδης διαφορά μας με τη Νέα Δημοκρατία του κ. Μητσοτάκη. Αυτή είναι η θεμελιώδης διαφορά μας. Όπως λέει το σύνθημα των νέων μας, των νέων του ΣΥΡΙΖΑ, «αυτοί μιλάνε για κόστη και ζημιές, εμείς μιλάμε για ανθρώπινες ζωές;». Αυτή είναι η διαφορά μας.",criticism,,social state,health,other,-0.8,0.2,0.2,"[['mr pneumatikos', 'person', '0.7'], ['nhs', 'organization', '0.9'], ['citizens', 'group of people', '0.5'], ['private hospitals', 'organization', '0.8'], ['syriza', 'political party', '0.7'], ['new democracy', 'political party', '0.8'], ['greece', 'country', '0.5']]"
18,"We citizens of Athens, my friends, have chosen sides in the dilemma of ""humanity or barbarism"". We are on the side of humanity and will remain so, no matter what. We stand with humanity, not with barbarism, because human life is valuable to us. We do not consider color, religion, ethnicity, or economic ability when defending human life, as we are all different but equal in this world. Therefore, we do not and will never account for political costs when defending our values of human life.","Εμείς, πολίτες της Αθήνας, φίλε και φίλοι, στο δίλημμα “ανθρωπιά ή βαρβαρότητα”, έχουμε επιλέξει πλευρά. Είμαστε με την ανθρωπιά. Και θα είμαστε, ό,τι και να γίνει. Είμαστε με την ανθρωπιά και όχι με τη βαρβαρότητα. Γιατί για εμάς η ανθρώπινη ζωή είναι αυταξία. Και δεν λογαριάζουμε χρώμα, ούτε θρησκεία, ούτε εθνικότητα, ούτε οικονομική δυνατότητα, όταν είναι να υπερασπιστούμε την ανθρώπινη ζωή. Γιατί όλοι είμαστε σ’ αυτό τον κόσμο διαφορετικοί, αλλά όλοι είμαστε ίσοι. Γι’ αυτό και δεν λογαριάσαμε, ούτε θα λογαριάσουμε ποτέ το πολιτικό κόστος όταν είναι να υπερασπιστούμε τις αξίες μας για την ανθρώπινη ζωή. ",political agenda,,human rights,,other,1,0.1,0,"[['athens', 'location', '1.0'], ['humanity', 'group of people', '1.0'], ['barbarism', 'group of people', '1.0'], ['human', 'group of people', '1.0'], ['color', 'group of people', '0.8'], ['religion', 'group of people', '0.8'], ['ethnicity', 'group of people', '0.8'], ['economic ability', 'group of people', '0.8'], ['political', 'organization', '1.0']]"
19,"This is what we did last week during the tragic shipwreck in Pylos, the deadliest shipwreck in the history of our country. Wherever we were told, we remembered what we were told: ""Don't speak, don't ask, don't breathe!"" Why? Because they were not rich, they were oppressed. Because they were not Greeks, they were not even tourists, they were refugees. That's what they told us last week: ""Don't talk, don't ask, don't breathe."" And we answered them: We have an obligation towards our values and our culture to both speak and ask questions because we serve these values. We served them when we made this country synonymous with humanity when it faced the biggest refugee crisis Europe has faced since World War II. We are proud of that. We are proud to be here to defend values. We made this country synonymous with humanity, and we will not allow some people today to make it synonymous with barbarism. Greece will remain synonymous with humanity.","Αυτό κάναμε και την προηγούμενη εβδομάδα, στο τραγικό ναυάγιο της Πύλου, στο πιο πολύνεκρο ναυάγιο που έχει γίνει στην ιστορία του τόπου μας. Όπου μας είπανε, θυμάστε τι μας είπανε: Μη μιλάτε, μη ρωτάτε, μην αναπνέετε! Γιατί; Γιατί δεν ήταν πλούσιοι, ήταν κατατρεγμένοι. Γιατί δεν ήταν Έλληνες, δεν ήταν καν τουρίστες, ήταν πρόσφυγες. Αυτά μας είπαν την προηγούμενη εβδομάδα: Μη μιλάτε, μη ρωτάτε, μην αναπνέετε. Και τους απαντήσαμε: Έχουμε υποχρέωση απέναντι στις αξίες και στον πολιτισμό μας και να μιλάμε και να ρωτάμε. Γιατί εμείς αυτές τις αξίες υπηρετούμε. Και αυτές υπηρετήσαμε όταν κάναμε τη χώρα συνώνυμο της ανθρωπιάς, όταν ήταν αντιμέτωπη με τη μεγαλύτερη προσφυγική κρίση που έχει αντιμετωπίσει η Ευρώπη μετά τον Β’ Παγκόσμιο Πόλεμο. Και είμαστε περήφανοι γι' αυτό. Είμαστε περήφανοι που είμαστε εδώ να υπερασπιζόμαστε αξίες. Κάναμε τη χώρα συνώνυμο της ανθρωπιάς και δεν θα επιτρέψουμε σήμερα κάποιοι να την κάνουν συνώνυμο της βαρβαρότητας. Η Ελλάδα θα παραμείνει συνώνυμο της ανθρωπιάς.",political agenda,,migration,,other,0.7,0,0,"[['pylos', 'location', 'high'], ['greeks', 'group of people', 'medium'], ['tourists', 'group of people', 'medium'], ['refugees', 'group of people', 'high'], ['greece', 'country', 'high'], ['europe', 'location', 'medium'], ['world war ii', 'date', 'medium']]"
20,"Citizens of Athens, friends, our differences with our political opponents - because for us there is only one political opponent, we are the backbone, the pillar of the progressive party of the country - and our opponent will always be the Right, the New Democracy of Mr Mitsotakis. Our differences with our political opponents are above all value-based, but they are also reflected in every aspect of social and economic life: in labor relations, the eight-hour working day, labor rights, health, education, energy, water, and primary housing. We want health, education, electricity, and water as public goods. They want - they said it, they did not hide it, they said it in their conceit and arrogance - 180 MPs to change the Constitution. Why do they not tell us exactly what they want to change in this Constitution? Do they want to establish health, education, electricity, and water as areas of speculation? We will be here, stronger than ever, to stop them!","Πολίτες της Αθήνας, φίλες και φίλοι, οι διαφορές μας με τον πολιτικό μας αντίπαλο - γιατί για μας ένας είναι ο πολιτικός αντίπαλος, είμαστε ο κορμός, ο πυλώνας της προοδευτικής παράταξης του τόπου. Και πάντοτε αντίπαλό μας θα έχουμε τη Δεξιά, τη Νέα Δημοκρατία του κ. Μητσοτάκη. Οι διαφορές μας με τον πολιτικό μας αντίπαλο είναι πάνω από όλα αξιακές. Αλλά αποτυπώνονται και σε κάθε όψη της κοινωνικής και οικονομικής ζωής: Στις εργασιακές σχέσεις, το οκτάωρο, τα εργασιακά δικαιώματα, στην Υγεία, την Παιδεία, την Ενέργεια, το νερό, την πρώτη κατοικία. Εμείς θέλουμε Υγεία, Παιδεία, ρεύμα και νερό, δημόσια αγαθά. Αυτοί θέλουν, το είπαν, δεν το κρύψανε, το είπαν μέσα στην έπαρση και την αλαζονεία τους, 180 βουλευτές για να αλλάξουν το Σύνταγμα. Γιατί δεν μας λένε τι ακριβώς θέλουν να αλλάξουν σ’ αυτό το Σύνταγμα; Θέλουν να κατοχυρώσουν ως πεδία κερδοσκοπίας και την Υγεία και την Παιδεία και το ρεύμα και το νερό; Θα είμαστε εδώ, πιο δυνατοί από ποτέ, να τους εμποδίσουμε!",criticism,,other,privatization,other,0.2,0.75,0.1,"[['citizens of athens', 'location', '0.9'], ['progressive party', 'organization', '0.8'], ['right', 'political party', '0.9'], ['new democracy', 'organization', '0.8'], ['mr mitsotakis', 'person', '0.7'], ['labor relations', 'group of people', '0.5'], ['labor rights', 'group of people', '0.5'], ['health', 'group of people', '0.5'], ['education', 'group of people', '0.5'], ['energy', 'group of people', '0.5'], ['water', 'group of people', '0.5'], ['constitution', 'date', '0.5'], ['mps', 'group of people', '0.5']]"
21,"We friends consider the protection of labor a necessary condition not only for justice but also for inclusive growth, growth that benefits everyone, not just the few and the powerful. They see labor as a cost that must be further reduced.","Εμείς, φίλες και φίλοι, θεωρούμε την προστασία της εργασίας ως απαραίτητη προϋπόθεση όχι μόνο της δικαιοσύνης αλλά και της συμπεριληπτικής ανάπτυξης, της ανάπτυξης που θα έχει όφελος για όλους, όχι μόνο για λίγους και ισχυρούς. Αυτοί βλέπουν την εργασία ως ένα κόστος που πρέπει να μειωθεί κι άλλο.",criticism,political agenda,other,employment,workers' rights,,0.2,0,"[['we', 'group of people', '0.8'], ['friends', 'group of people', '1.0'], ['justice', 'organization', '0.4'], ['inclusive growth', 'organization', '0.4'], ['everyone', 'group of people', '0.5'], ['few', 'group of people', '0.3'], ['powerful', 'group of people', '0.3.']]"
22,We have set a national goal for the next four years: for our country to stop deviating from the average of the European Union countries in terms of per capita income.,"Εμείς θέτουμε ως εθνικό στόχο την επόμενη τετραετία αλλά και τα επόμενα χρόνια της τετραετίας, η πατρίδα μας να σταματήσει τη πορεία απόκλισης από τον μέσο όρο των χωρών της Ευρωπαϊκής Ένωσης, σε ό,τι αφορά το κατά κεφαλήν εισόδημα. ",political agenda,,economy,,economic equity,,0,0,"[['european union', 'organization', '0.9'], ['country', 'location', '0.7'], ['four years', 'date', '0.6'], ['per capita income', 'group of people', '0.4']]"
23,"Because, yes, we stayed in Europe and we are the ones who defied the political cost and did our duty to society and our country. We have unburdened this country by washing the dirty laundry of the entire post-independence period. Sins that belonged to others were washed away by us! We took the country out of the memoranda, we regulated the public debt! We left 40 billion in the public coffers! Yes, we fought the battle with the Troika and the lenders, but we exploited every crack in the negotiation for the benefit of the public interest. We put 2.5 million uninsured people on the NHS. We raised the minimum wage! We reinstated the minimum wage. We brought back collective bargaining. We are proud of what we have achieved in the face of incredible difficulties. Yes, we stayed in Europe. But now it is time to become Europe. It is not enough that we have stayed, we have to become.","Γιατί, ναι, μείναμε Ευρώπη και είμαστε εμείς αυτοί που αψηφήσαμε το πολιτικό κόστος και κάναμε το χρέος μας απέναντι στην κοινωνία και απέναντι στην πατρίδα. Που ξελασπώσαμε τούτη τη χώρα, ξεπλένοντας τα άπλυτα ολάκερης της Μεταπολίτευσης. Αμαρτίες που ανήκαν σε άλλους ξεπλύναμε εμείς! Βγάλαμε τη χώρα από τα μνημόνια, ρυθμίσαμε το δημόσιο χρέος! Αφήσαμε 40 δισεκατομμύρια στα δημόσια ταμεία! Ναι, δώσαμε τη μάχη με την τρόικα και τους δανειστές, αλλά αξιοποιήσαμε κάθε χαραμάδα στη διαπραγμάτευση προς όφελος του δημόσιου συμφέροντος. Βάλαμε 2,5 εκατομμύρια ανασφάλιστους στο ΕΣΥ. Αυξήσαμε τον κατώτατο μισθό! Καταργήσαμε τον υποκατώτατο. Επαναφέραμε τις συλλογικές διαπραγματεύσεις. Είμαστε περήφανοι για ό,τι πετύχαμε μέσα σε απίστευτες δυσκολίες. Ναι, λοιπόν, μείναμε Ευρώπη. Αλλά τώρα ήρθε η ώρα και να γίνουμε Ευρώπη. Δεν αρκεί που μείναμε, πρέπει και να γίνουμε.",political agenda,,europe,,troika,0.8,0.2,0.2,"[['europe', 'location', '1.0'], ['troika', 'organization', '1.0'], ['nhs', 'organization', '0.8'], ['europe', 'country', '0.7'], ['40 billion', 'date', '0.6'], ['post-independence period', 'date', '0.5'], ['2.5 million', 'group of people', '0.5'], ['public interest', 'organization', '0.4'], ['minimum wage', 'organization', '0.4'], ['collective bargaining', 'organization', '0.3']]"
24,"We should be concerned because the country's per capita income has fallen by 18 percentage points since the crisis began. This situation is not only reflected in the numbers but also in people's lives, especially young people who face daily difficulties in making ends meet due to poverty, high rents, and worsening working conditions. Our divergence from the European average is evident as one in four citizens is currently at risk of poverty.","Να γίνουμε, γιατί το κατά κεφαλήν εισόδημα της χώρας έπεσε 18 ποσοστιαίες μονάδες από τότε που ξεκίνησε η κρίση. Κι η κατάσταση αυτή δεν αποτυπώνεται απλώς στους αριθμούς. Αποτυπώνεται στη ζωή των ανθρώπων, στην καθημερινότητα των συμπολιτών μας, στους περιορισμούς των οριζόντων πολλών ανθρώπων, ειδικά των νέων ανθρώπων, εξαιτίας της καθημερινής δυσκολίας να τα βγάλουν πέρα. Εξαιτίας της ακρίβειας, εξαιτίας των υψηλών ενοικίων, εξαιτίας των δύσκολων εργασιακών συνθηκών, που ολοένα και χειροτερεύουν. Η απόκλισή μας από τον μέσο ευρωπαϊκό όρο, αποτυπώνεται στο γεγονός πως ένας στους τέσσερις πολίτες σήμερα βρίσκεται σε κίνδυνο φτώχειας.",political agenda,,economy,,poverty,-0.8,0,0,"[['none', 'as there are no named entities in the provided text.']]"
25,"It is reflected in crime, the dismal picture, and the collapse of the NHS today, which was left without any support during the pandemic. Our country has the worst rates of loss of life in proportion to our population in the whole of Europe. We are competing with countries of the former Eastern Bloc, Bulgaria, and Romania, both in terms of per capita income and loss of human lives due to the pandemic.","Αποτυπώνεται στο έγκλημα, στη άθλια εικόνα, στην κατάρρευση σήμερα του ΕΣΥ, που αφέθηκε χωρίς καμία στήριξη την περίοδο της πανδημίας. Και είναι η χώρα μας αυτή με τους χειρότερους δείκτες σε απώλειες συνανθρώπων μας, αναλογικά με τον πληθυσμό μας, σε ολόκληρη την Ευρώπη. Συναγωνιζόμαστε, τόσο στο κατά κεφαλήν εισόδημα όσο και στις απώλειες ανθρώπινων ζωών από την πανδημία, με χώρες του πρώην Ανατολικού Μπλοκ, με τη Βουλγαρία και τη Ρουμανία. ",criticism,,pandemic,,public health system,-0.9,0,0,"[['nhs', 'organization', '0.95'], ['europe', 'location', '0.9'], ['eastern bloc', 'group of people', '0.7'], ['bulgaria', 'country', '0.9'], ['romania', 'country', '0.9'], ['pandemic', 'date', '0.5']]"
