NER,frequency,to appear? (yes/no),EN name,EL name
banks,44,yes,Banks,Τράπεζες
left,44,yes,Left,Αριστερά
workers,44,yes,Workers,Εργαζόμενοι
elections,41,yes,Elections,Εκλογές
aegean,41,yes,Aegean,Αιγαίο
heraklion,40,yes,Heraklion,Ηράκλειο
people,40,no,People,Άνθρωποι
universities,38,yes,Universities,Πανεπιστήμια
pandemic,38,yes,Pandemic,Πανδημία
brussels,38,yes,Brussels,Βρυξέλλες
2023,37,yes,2023,2023
androulakis,37,yes,Androulakis,Ανδρουλάκης
thessaly,35,yes,Thessaly,Θεσσαλία
golden dawn,34,yes,Golden Dawn,Χρυσή Αυγή
ppc,34,yes,PPC,ΔΕΗ
justice,34,yes,Justice,Δικαιοσύνη
hercules,33,yes,Hercules,Ηρακλής
2022,31,yes,2022,2022
party,31,yes,Party,Κόμμα
vardinoyannis,31,yes,Vardinoyannis,Βαρδινογιάννης
latsis,31,yes,Latsis,Λάτσης
portugal,30,yes,Portugal,Πορτογαλία
france,29,yes,France,Γαλλία
epirus,29,yes,Epirus,Ήπειρος
ioannina,29,yes,Ioannina,Ιωάννινα
european central bank,29,yes,European Central Bank,Ευρωπαϊκή Κεντρική Τράπεζα
pensioners,29,yes,Pensioners,Συνταξιούχοι
armed forces,28,yes,Armed Forces,Ένοπλες Δυνάμεις
education,27,yes,Education,Εκπαίδευση
vat,27,yes,VAT,ΦΠΑ
karamanlis,26,yes,Karamanlis,Καραμανλής
italy,26,yes,Italy,Ιταλία
thrace,26,yes,Thrace,Θράκη
greek society,26,yes,Greek Society,Ελληνική Κοινωνία
alexandroupolis,26,yes,Alexandroupolis,Αλεξανδρούπολη
united states,26,yes,United States,Ηνωμένες Πολιτείες
serres,25,yes,Serres,Σέρρες
agrinio,25,yes,Agrinio,Αγρίνιο
achaia,25,yes,Achaia,Αχαΐα
monday,25,yes,Monday,Δευτέρα
oligarchy,24,yes,Oligarchy,Ολιγαρχία
2010,24,yes,2010,2010
spain,24,yes,Spain,Ισπανία
communists,24,yes,Communists,Κομμουνιστές
demeter,24,yes,Demeter,Δήμητρα
oecd,23,yes,Oecd,ΟΑΣΑ
trikala,23,yes,Trikala,Τρίκαλα
western macedonia,23,yes,Western Macedonia,Δυτική Μακεδονία
greek solution,23,yes,Greek Solution,Ελληνική Λύση
rhodes,22,yes,Rhodes,Ρόδος
greek government,22,yes,Greek Government,Ελληνική Κυβέρνηση
society,22,yes,Society,Κοινωνία
may day,22,yes,May Day,Πρωτομαγιά
mytilineos,22,yes,Mytilineos,Μυτιληναίος
greek economy,21,yes,Greek Economy,Ελληνική Οικονομία
bulgaria,21,yes,Bulgaria,Βουλγαρία
right,21,yes,Right,Δεξιά
katrougalos,21,yes,Katrougalos,Κατρούγκαλος
doctors,21,yes,Doctors,Γιατροί
region,21,yes,Region,Περιοχή
macedonia,21,yes,Macedonia,Μακεδονία
volos,21,yes,Volos,Βόλος
cvc,21,yes,Cvc,Cvc
cayman islands,21,yes,Cayman Islands,Νησιά Καϊμάν
oligarchs,20,yes,Oligarchs,Ολιγάρχες
funds,20,yes,Funds,Funds
kozani,20,yes,Kozani,Κοζάνη
civil servants,20,yes,Civil Servants,Δημόσιοι Υπάλληλοι
mayor,20,yes,Mayor,Δήμαρχος
cyprus,19,yes,Cyprus,Κύπρος
hospitals,19,yes,Hospitals,Νοσοκομεία
greek citizens,19,yes,Greek Citizens,Έλληνες Πολίτες
xanthi,19,yes,Xanthi,Ξάνθη
supermarket,19,yes,Supermarket,Σούπερ Μάρκετ
council of state,19,yes,Council Of State,Συμβούλιο Της Επικρατείας
women,19,yes,Women,Γυναίκες
berlin,19,yes,Berlin,Βερολίνο
election,18,yes,Election,Εκλογές
students,18,yes,Students,Φοιτητές
citizen,18,yes,Citizen,Πολίτης
putin,18,yes,Putin,Πούτιν
public hospitals,18,yes,Public Hospitals,Δημόσια Νοσοκομεία
london,18,yes,London,Λονδίνο
frankfurt,18,yes,Frankfurt,Φρανκφούρτη
july 2019,18,yes,July 2019,Ιούλιος 2019
2027,18,yes,2027,2027
european countries,17,yes,European Countries,Ευρωπαϊκές Χώρες
china,17,yes,China,Κίνα
children,17,yes,Children,Παιδιά
comrades,17,yes,Comrades,Σύντροφοι
lamia,17,yes,Lamia,Λαμία
youth,17,yes,Youth,Νεολαία
kavala,17,yes,Kavala,Καβάλα
ppp,17,yes,Ppp,Ppp
working class,17,yes,Working Class,Εργατική Τάξη
lesvos,17,yes,Lesvos,Λέσβος
gov.gr,17,yes,Gov.gr,Gov.gr
regional governor,17,yes,Regional Governor,Περιφερειάρχης
cooperatives,16,yes,Cooperatives,Συνεταιρισμοί
efka,16,yes,EFKA,ΕΦΚΑ
memoranda,16,yes,Memoranda,Μνημόνια
date,16,yes,Date,Ημερομηνία
political party,16,yes,Political Party,Πολιτικό Κόμμα
house,16,yes,House,Σπίτι
contract of change,16,yes,Contract Of Change,Συμβόλαιο Αλλαγής
nurses,16,yes,Nurses,Νοσηλευτές/εύτριες
progressive government,16,yes,Progressive Government,Προοδευτική Κυβέρνηση
health,16,yes,Health,Υγεία
thatcher,16,yes,Thatcher,Θάτσερ
tourism,15,yes,Tourism,Τουρισμός
kasidiaris,15,yes,Kasidiaris,Κασιδιάρης
america,15,yes,America,Αμερική
german,15,yes,German,Γερμανικό
greek parliament,15,yes,Greek Parliament,Ελληνικό Κοινοβούλιο
european country,15,yes,European Country,Ευρωπαϊκή Χώρα
special court,15,yes,Special Court,Ειδικό Δικαστήριο
aitoloakarnania,15,yes,Aitoloakarnania,Αιτωλοακαρνανία
russia,15,yes,Russia,Ρωσία
arta,15,yes,Arta,Άρτα
eurozone,15,yes,Eurozone,Ευρωζώνη
peristeri,15,yes,Peristeri,Περιστέρι
parties,14,yes,Parties,Κόμματα
energy crisis,14,yes,Energy Crisis,Ενεργειακή Κρίση
ose,14,yes,Ose,ΟΣΕ
welfare state,14,yes,Welfare State,Κράτος Πρόνοιας
gdp,14,yes,GDP,ΑΕΠ
peloponnese,14,yes,Peloponnese,Πελοπόννησος
schäuble,14,yes,Schäuble,Σόιμπλε
british,14,yes,British,Βρετανική
economy,14,yes,Economy,Οικονομία
greek state,14,yes,Greek State,Ελληνικό Κράτος
public sector,14,yes,Public Sector,Δημόσιος Τομέας
britain,14,yes,Britain,Βρετανία
erdogan,13,yes,Erdogan,Ερντογάν
georgiades,13,yes,Georgiades,Γεωργιάδης
family,13,yes,Family,Οικογένεια
supreme court,13,yes,Supreme Court,Ανώτατο Δικαστήριο
kammenos,13,yes,Kammenos,Καμμένος
eurostat,13,yes,Eurostat,Eurostat
europeans,13,yes,Europeans,Ευρωπαίοι
balkans,13,yes,Balkans,Βαλκάνια
red loans,13,yes,Red Loans,Κόκκινα Δάνεια
today,13,no,Today,Σήμερα
hyperfund,13,yes,Hyperfund,Υπερταμείο
pontian hellenism,13,yes,Pontian Hellenism,Ποντιακός Ελληνισμός
personal assistant,13,yes,Personal Assistant,Προσωπικός Βοηθός
10,13,yes,10,10
superfund,13,yes,Superfund,Υπερταμείο
capitalism,13,yes,Capitalism,Καπιταλισμός
alafouzos,13,yes,Alafouzos,Αλαφούζος
egaleo,13,yes,Egaleo,Αιγάλεω
i,12,no,I,I
president,12,yes,President,Πρόεδρος
municipalities,12,yes,Municipalities,Δήμοι
judiciary,12,yes,Judiciary,Δικαστικό Σώμα
livestock farmers,12,yes,Livestock Farmers,Κτηνοτρόφοι
teachers,12,yes,Teachers,Δάσκαλοι
evia,12,yes,Evia,Εύβοια
kastoria,12,yes,Kastoria,Καστοριά
nsa,12,yes,Nsa,ΕΥΠ
700,12,yes,700,700
constantine karamanlis,12,yes,Constantine Karamanlis,Κωνσταντίνος Καραμανλής
public universities,12,yes,Public Universities,Δημόσια Πανεπιστήμια
change,12,yes,Change,Αλλαγή
india,12,yes,India,Ινδία
us,12,yes,Us,Us
elefsina,12,yes,Elefsina,Ελευσίνα
inflation,11,yes,Inflation,Πληθωρισμός
africa,11,yes,Africa,Αφρική
nazis,11,yes,Nazis,Ναζί
paraskevas avgerinos,11,yes,Paraskevas Avgerinos,Παρασκευάς Αυγερινός
george papandreou,11,yes,George Papandreou,Γιώργος Παπανδρέου
institutions,11,yes,Institutions,Θεσμοί
farmer,11,yes,Farmer,Αγρότης
ireland,11,yes,Ireland,Ιρλανδία
small and medium-sized enterprises,11,yes,Small And Medium-sized Enterprises,Μικρομεσαίες Επιχειρήσεις
ilia,11,yes,Ilia,Ηλία
mps,11,yes,Mps,Μέλη του Κοινοβουλίου
yesterday,11,yes,Yesterday,Χθες
private sector,11,yes,Private Sector,Ιδιωτικός Τομέας
western greece,11,yes,Western Greece,Δυτική Ελλάδα
cretans,11,yes,Cretans,Κρητικοί
chalkida,11,yes,Chalkida,Χαλκίδα
labour inspectorate,11,yes,Labour Inspectorate,Επιθεώρηση Εργασίας
may 22,11,yes,May 22,Μαΐου 22
dodecanese,11,yes,Dodecanese,Δωδεκάνησα
chios,11,yes,Chios,Χίος
capital,11,yes,Capital,Κεφάλαιο
popular unity,11,yes,Popular Unity,Λαϊκή Ενότητα
macquarie,11,yes,Macquarie,Macquarie
wehrmacht,11,yes,Wehrmacht,Βέρμαχτ
draghi,11,yes,Draghi,Ντράγκι
odysseus,11,yes,Odysseus,Οδυσσέας
super fund,11,yes,Super Fund,Υπερταμείο
ulysses,11,yes,Ulysses,Οδυσσέας
moria,11,yes,Moria,Μόρια
nsrf,10,yes,NSRF,ΕΣΠΑ
150,10,yes,150,150
greek citizen,10,yes,Greek Citizen,Έλληνας Πολίτης
hitler,10,yes,Hitler,Χίτλερ
portuguese,10,yes,Portuguese,Πορτογαλικά
mrs kerameos,10,yes,Mrs Kerameos,κυρία Κεραμέως
minimum wage,10,yes,Minimum Wage,Κατώτατος Μισθός
germans,10,yes,Germans,Γερμανικά
evros fence,10,yes,Evros Fence,Φράχτης στον Έβρο
university,10,yes,University,Πανεπιστήμιο
2009,10,yes,2009,2009
egypt,10,yes,Egypt,Αίγυπτος
police officers,10,yes,Police Officers,Αστυνομικοί
4 years,10,yes,4 Years,4 Χρόνια
schools,10,yes,Schools,Σχολεία
cartels,10,yes,Cartels,Καρτέλ
post-war period,10,yes,Post-war Period,Μεταπολεμική Περίοδος
contract for change,10,yes,Contract For Change,Συμβόλαιο Αλλαγής
attica,10,yes,Attica,Αττική
working people,10,yes,Working People,Εργαζόμενοι
1,10,no,1,1
magnesia,10,yes,Magnesia,Μαγνησία
bank of greece,10,yes,Bank Of Greece,Τράπεζα Της Ελλάδας
energy exchange,10,yes,Energy Exchange,Ανταλλαγή Ενέργειας
personal doctor,10,yes,Personal Doctor,Προσωπικός Γιατρός
rafale,10,yes,Rafale,Ραφάλ
1981,9,yes,1981,1981
labour,9,yes,Labour,Εργασία
tax authorities,9,yes,Tax Authorities,Φορολογικές Αρχές
spanish,9,yes,Spanish,Ισπανικά
italians,9,yes,Italians,Ιταλοί
samaras,9,yes,Samaras,Σαμαράς
15,9,no,15,15
greek women,9,yes,Greek Women,Ελληνίδες
mr. karamanlis,9,yes,Mr. Karamanlis,Κ. Καραμανλής
demetra,9,yes,Demetra,Δήμητρα
public education,9,yes,Public Education,Δημόσια Εκπαίδευση
messinia,9,yes,Messinia,Μεσσηνία
albania,9,yes,Albania,Αλβανία
2017,9,yes,2017,2017
sunday night,9,yes,Sunday Night,Κυριακή Βράδυ
water,9,yes,Water,Νερό
opposition,9,yes,Opposition,Αντιπολίτευση
european parliament,9,yes,European Parliament,Ευρωπαϊκό Κοινοβούλιο
igoumenitsa,9,yes,Igoumenitsa,Igoumenitsa
constitution,9,yes,Constitution,Σύνταγμα
energy companies,9,yes,Energy Companies,Εταιρείες Ενέργειας
maximou,9,yes,Maximou,Maximou
electricity,9,yes,Electricity,Ηλεκτρική Ενέργεια
ballot box,9,yes,Ballot Box,Κάλπη
progressive forces,9,yes,Progressive Forces,Προοδευτικές Δυνάμεις
households,9,yes,Households,Νοικοκυριά
families,9,yes,Families,Οικογένειες
diem 25,9,yes,Diem 25,Diem 25
bankers,9,yes,Bankers,Τραπεζίτες
deutsche bank,9,yes,Deutsche Bank,Γερμανικη Τραπεζα
marinakis,9,yes,Marinakis,Μαρινάκης
enfia,9,yes,ENFIA,ΕΝΦΙΑ
eam,9,yes,ΕΑΜ,ΕΑΜ
jcp,9,yes,Jcp,Jcp
2025,9,yes,2025,2025
emergency departments,9,yes,Emergency Departments,Τμήματα Επειγόντων Περιστατικών
new generation,8,yes,New Generation,Νέα Γενιά
social democrats,8,yes,Social Democrats,Σοσιαλδημοκράτες
mr karamanlis,8,yes,Mr Karamanlis,Κ. Καραμανλής
elga,8,yes,ELGA,ΕΛΓΑ
businesses,8,yes,Businesses,Επιχειρήσεις
commission,8,yes,Commission,Προμήθεια
our country,8,yes,Our Country,Η Χώρα Μας
the people,8,yes,The People,Οι Άνθρωποι
2,8,no,2,2
energy communities,8,yes,Energy Communities,Ενεργειακές Κοινότητες
rule of law,8,yes,Rule Of Law,Κράτος Δικαίου
municipality,8,yes,Municipality,Δήμος
kalamata,8,yes,Kalamata,Καλαμάτα
local government,8,yes,Local Government,Τοπική Αυτοδιοίκηση
maximou mansion,8,yes,Maximou Mansion,Μέγαρο Μαξίμου
envia,8,no,Envia,Αποστολή
tomorrow,8,yes,Tomorrow,Αύριο
social security funds,8,yes,Social Security Funds,Ταμεία Κοινωνικής Ασφάλισης
the country,8,yes,The Country,Η Χώρα
mega,8,yes,Mega,Mega
colleges,8,yes,Colleges,Κολέγια
right-wing government,8,yes,Right-wing Government,Δεξιά Κυβέρνηση
national exams,8,yes,National Exams,Εθνικές Εξετάσεις
national resistance,8,yes,National Resistance,Εθνική Αντίσταση
four years ago,8,yes,Four Years Ago,Πριν Από Τέσσερα Χρόνια
pensions,8,yes,Pensions,Συντάξεις
brazil,8,yes,Brazil,Βραζιλία
20,8,yes,20,20
progressive alliance,8,yes,Progressive Alliance,Προοδευτική Συμμαχία
national bank,8,yes,National Bank,Εθνική Τράπεζα
corfu,8,yes,Corfu,Κέρκυρα
we,8,yes,We,Εμείς
development bank,8,yes,Development Bank,Αναπτυξιακή Τράπεζα
kos,8,yes,Kos,Κως
socialism,8,yes,Socialism,Σοσιαλισμός
goebbels,8,yes,Goebbels,Γκέμπελς
delaware,8,yes,Delaware,Ντέλαγουερ
nazism,8,yes,Nazism,Ναζισμός
helen,8,yes,Helen,Ελένη
compañeras,8,yes,Compañeras,Εταίροι
kne,8,yes,KNE,ΚΝΕ
kefalonia,8,yes,Kefalonia,Κεφαλονιά
internet,7,yes,Internet,Διαδίκτυο
national elections,7,yes,National Elections,Εθνικές Εκλογές
polls,7,yes,Polls,Δημοσκοπήσεις
young couples,7,yes,Young Couples,Νεαρά Ζευγάρια
future,7,yes,Future,Μελλοντικό
voridis,7,yes,Voridis,Βορίδης
republic,7,yes,Republic,Δημοκρατία
hellenism,7,yes,Hellenism,Ελληνισμός
george gennimatas,7,yes,George Gennimatas,Γεώργιος Γεννηματάς
covid,7,yes,Covid,Covid
processors,7,yes,Processors,Επεξεργαστές
climate change,7,yes,Climate Change,Κλιματική Αλλαγή
cap,7,yes,CAP,ΚΑΠ
esas,7,yes,Esas,Εσάς
eleftherios venizelos,7,yes,Eleftherios Venizelos,Ελευθέριος Βενιζέλος
companies,7,yes,Companies,Εταιρείες
proportional representation,7,yes,Proportional Representation,Απλή Αναλογική
patsis,7,yes,Patsis,Πάτσης
pontians,7,yes,Pontians,Πόντιοι
ptolemaida,7,yes,Ptolemaida,Πτολεμαΐδα
komotini,7,yes,Komotini,Κομοτηνή
the state,7,yes,The State,Το Κράτος
turkish,7,yes,Turkish,Τουρκικά
group of people,7,yes,Group Of People,Ομάδα Ανθρώπων
governments,7,yes,Governments,Κυβερνήσεις
journalists,7,yes,Journalists,Δημοσιογράφοι
2020,7,yes,2020,2020
maximou building,7,yes,Maximou Building,Μέγαρο Μαξίμου
democratic citizens,7,yes,Democratic Citizens,Δημοκρατικοί Πολίτες
fthiotida,7,yes,Fthiotida,Φθιώτιδα
public coffers,7,yes,Public Coffers,Δημόσια Ταμεία
7,7,no,7,7
preveza,7,yes,Preveza,Πρέβεζα
local health units,7,yes,Local Health Units,Τοπικές Μονάδες Υγείας
post-independence period,7,yes,Post-independence Period,Περίοδος Μετά Την Ανεξαρτησία
police,7,yes,Police,Αστυνομία
disabilities,7,yes,Disabilities,Αναπηρίες
soviet union,7,yes,Soviet Union,Σοβιετική Ένωση
injustice,7,yes,Injustice,Αδικία
2018,7,yes,2018,2018
kyriakos,7,yes,Kyriakos,Κυριάκος
minimum admission base,7,yes,Minimum Admission Base,Ελάχιστη Βάση Εισδοχής
hatzidakis,7,yes,Hatzidakis,Χατζηδάκης
labour day,7,yes,Labour Day,Ημέρα Της Εργασίας
drapetsona,7,yes,Drapetsona,Δραπετσώνα
keratsini,7,yes,Keratsini,Κερατσίνι
energy,7,yes,Energy,Ενέργεια
business groups,7,yes,Business Groups,Επιχειρηματικές Ομάδες
airbnb,7,yes,Airbnb,Airbnb
french,7,yes,French,Γαλλικά
paris,7,yes,Paris,Παρίσι
referendum,7,yes,Referendum,Δημοψήφισμα
pigeon,7,yes,Pigeon,Περιστέρι
washington,7,yes,Washington,Ουάσινγκτον
metro,7,yes,Metro,Μετρό
goldman sachs,7,yes,Goldman Sachs,Goldman Sachs
polytechnic,7,yes,Polytechnic,Πολυτεχνείο
unions,7,yes,Unions,Συνδικάτα
ionian sea,7,yes,Ionian Sea,Ιόνιο Πέλαγος
mr. c.e.,7,yes,Mr. C.e.,Ο Κ. C.e.
usa,7,yes,USA,ΗΠΑ
pella,7,yes,Pella,Δέρμα
2019 elections,7,yes,2019 Elections,Εκλογές 2019
west athens,7,yes,West Athens,Δυτική Αθήνα
abroad,6,yes,Abroad,Στο Εξωτερικό
democrats,6,yes,Democrats,Δημοκράτες
greek children,6,yes,Greek Children,Ελληνόπουλα
swiss franc,6,yes,Swiss Franc,Ελβετικό Φράγκο
lithuania,6,yes,Lithuania,Λιθουανία
green transition,6,yes,Green Transition,Πράσινη Μετάβαση
george gennimata,6,yes,George Gennimata,Γεώργιος Γεννηματάς
antonaros,6,yes,Antonaros,Αντώναρος
maximos,6,yes,Maximos,Μαξίμου
may,6,yes,May,Μάιος
2014,6,yes,2014,2014
hungary,6,yes,Hungary,Ουγγαρία
banking system,6,yes,Banking System,Τραπεζικό Σύστημα
mr georgiades,6,yes,Mr Georgiades,Κ. Γεωργιάδης
manufacturing,6,yes,Manufacturing,Κατασκευή
parastate,6,yes,Parastate,Παρακράτος
history,6,yes,History,Ιστορία
mr. pappas,6,yes,Mr. Pappas,κ. Παππάς
22 may,6,yes,22 May,22 Μαΐου
katseli,6,yes,Katseli,Κατσέλη
papandreou,6,yes,Papandreou,Παπανδρέου
2011,6,yes,2011,2011
progressive,6,yes,Progressive,Προοδευτικό
2012,6,yes,2012,2012
culture,6,yes,Culture,Πολιτισμός
primary sector,6,yes,Primary Sector,Πρωτογενής Τομέας
americans,6,yes,Americans,Αμερικανοί
junta,6,yes,Junta,Συμβούλιο
social justice,6,yes,Social Justice,Κοινωνική Δικαιοσύνη
national baccalaureate,6,yes,National Baccalaureate,Εθνικό Απολυτήριο
national,6,yes,National,Εθνικό
lithuanians,6,yes,Lithuanians,Λιθουανοί
pyrgos,6,yes,Pyrgos,Πύργος
media,6,yes,Media,ΜΜΕ
'15,6,yes,'15,'15
world,6,yes,World,Παγκόσμια
taxes,6,yes,Taxes,Φόροι
fellow citizens,6,yes,Fellow Citizens,Συμπολίτες Μας
renewable energy sources,6,yes,Renewable Energy Sources,Ανανεώσιμες Πηγές Ενέργειας
velopoulos,6,yes,Velopoulos,Βελόπουλος
political system,6,yes,Political System,Πολιτικό Σύστημα
anel,6,yes,ANEL,ΑΝΕΛ
eastern mediterranean,6,yes,Eastern Mediterranean,Ανατολική Μεσόγειος
northern greece,6,yes,Northern Greece,Βόρεια Ελλάδα
alpha,6,yes,Alpha,Alpha
halkidiki,6,yes,Halkidiki,Χαλκιδική
kosovo,6,yes,Kosovo,Κόσοβο
american,6,yes,American,Αμερικανική
regional universities,6,yes,Regional Universities,Περιφερειακά Πανεπιστήμια
new democrats,6,yes,New Democrats,Νεοδημοκράτες
minister of development,6,yes,Minister Of Development,Υπουργός Ανάπτυξης
coronavirus,6,yes,Coronavirus,Kορωνοϊός
13th pension,6,yes,13th Pension,13η Σύνταξη
right-wing,6,yes,Right-wing,Δεξιά
professors,6,yes,Professors,Καθηγητές
russian,6,yes,Russian,Ρωσική
19,6,no,19,19
tripoli,6,yes,Tripoli,Τρίπολη
islands,6,yes,Islands,Νησιά
health centres,6,yes,Health Centres,Κέντρα Υγείας
kifissia,6,yes,Kifissia,Κηφισιά
predator,6,yes,Predator,Αρπακτικό
2021,6,yes,2021,2021
labour centre,6,yes,Labour Centre,Κέντρο Οργώματος
ministry of finance,6,yes,Ministry Of Finance,Υπουργείο Οικονομικών
university police,6,yes,University Police,Πανεπιστημιακή Αστυνομία
aras,6,yes,Aras,Μεταξύ
mexico,6,yes,Mexico,Μεξικό
eurogroup,6,yes,Eurogroup,Eurogroup
england,6,yes,England,Αγγλία
progressive international,6,yes,Progressive International,Προοδευτική Διεθνής
demitra,6,yes,Demitra,Δήμητρα
radical left,6,yes,Radical Left,Ριζοσπαστική Αριστερά
25 alliance,6,yes,25 Alliance,25 Συμμαχία
december 2020,6,yes,December 2020,Δεκέμβριος 2020
25,6,yes,25,25
denmark,6,yes,Denmark,Δανία
pierrakakis,6,yes,Pierrakakis,Πιερρακάκης
mytilene,6,yes,Mytilene,Μυτιλήνη
coast guard,6,yes,Coast Guard,Ακτοφυλακή
cosco,6,yes,Cosco,Cosco
jce,6,yes,Jce,JCE
elas,6,yes,Elas,ΕΛΑΣ
homeland,6,yes,Homeland,Πατρίδα
constantine,6,yes,Constantine,Κωνσταντίνος
36,6,yes,36,36
progress,6,yes,Progress,Πρόοδος
1974,5,yes,1974,1974
programme,5,yes,Programme,Πρόγραμμα
aegean prespes,5,yes,Aegean Prespes,Αιγαιοπελαγίτικες Πρέσπες
excise duty,5,yes,Excise Duty,Ειδικός Φόρος Κατανάλωσης
ministry,5,yes,Ministry,Υπουργείο
karatzaferis,5,yes,Karatzaferis,Καρατζαφέρης
drachma,5,yes,Drachma,Δραχμή
thessalian plain,5,yes,Thessalian Plain,Θεσσαλική Πεδιάδα
transparency authority,5,yes,Transparency Authority,Αρχή Διαφάνειας
agricultural bank,5,yes,Agricultural Bank,Γεωργική Τράπεζα
ekas,5,yes,EKAS,ΕΚΑΣ
belgium,5,yes,Belgium,Βέλγιο
health workers,5,yes,Health Workers,Εργαζόμενοι Στον Τομέα Της Υγείας
fofi gennimata,5,yes,Fofi Gennimata,Φώφη Γεννηματά
far right,5,yes,Far Right,Ακροδεξιά
nikos kazantzakis,5,yes,Nikos Kazantzakis,Νίκος Καζαντζάκης
small and medium enterprises,5,yes,Small And Medium Enterprises,Μικρές Και Μεσαίες Επιχειρήσεις
refugees,5,yes,Refugees,Πρόσφυγες
agricultural sector,5,yes,Agricultural Sector,Γεωργικός Τομέας
production,5,yes,Production,Παραγωγή
ranchers,5,yes,Ranchers,Κτηνοτρόφοι
sunday 21 may,5,yes,Sunday 21 May,Κυριακή 21 Μαΐου
120 instalments,5,yes,120 Instalments,120 Δόσεις
solts,5,yes,Solts,Σολτς
boards of directors,5,yes,Boards Of Directors,Διοικητικά Συμβούλια
polakis,5,yes,Polakis,Πολάκης
ert,5,yes,ERT,ΕΡΤ
12 years,5,yes,12 Years,12 Χρόνια
photovoltaics,5,yes,Photovoltaics,Φωτοβολταϊκά
2030,5,yes,2030,2030
onned,5,yes,Onned,Onned
politicians,5,yes,Politicians,Πολιτικοί
democratic,5,yes,Democratic,Δημοκρατικό
organization,5,yes,Organization,Οργάνωση
trump,5,yes,Trump,Τραμπ
congress,5,yes,Congress,Συνέδριο
alexandroupoli,5,yes,Alexandroupoli,Αλεξανδρούπολη
drama,5,yes,Drama,Δράμα
turks,5,yes,Turks,Τούρκοι
shipowners,5,yes,Shipowners,Πλοιοκτήτες
european commission,5,yes,European Commission,Ευρωπαϊκή Επιτροπή
conglomerates,5,yes,Conglomerates,Όμιλοι Επιχειρήσεων
souda,5,yes,Souda,Σούδα
kolonaki,5,yes,Kolonaki,Κολωνάκι
bolsonaro's brazil,5,yes,Bolsonaro's Brazil,Βραζιλία Του Μπολσονάρου
day laborers,5,yes,Day Laborers,Ημερομίσθιοι
ionian road,5,yes,Ionian Road,Ιόνια Οδός
national debt,5,yes,National Debt,Εθνικό Χρέος
4,5,no,4,4
athens stock exchange,5,yes,Athens Stock Exchange,Χρηματιστήριο Αθηνών
public debt,5,yes,Public Debt,Δημόσιο Χρέος
plastira,5,yes,Plastira,Πλαστήρας
papagos,5,yes,Papagos,Παπάγος
next sunday,5,yes,Next Sunday,Την Επόμενη Κυριακή
public health,5,yes,Public Health,Δημόσια Υγεία
day labourers,5,yes,Day Labourers,Ημερομίσθιοι
county,5,yes,County,Κομητεία
wages,5,yes,Wages,Μισθοί
small and medium-sized entrepreneurs,5,yes,Small And Medium-sized Entrepreneurs,Μικρομεσαίοι Επιχειρηματίες
public,5,yes,Public,Δημόσια
baby food,5,yes,Baby Food,Παιδικές Τροφές
july,5,yes,July,Ιούλιος
auctions,5,yes,Auctions,Πλειστηριασμοί
450,5,yes,450,450
